[2025-09-05T04:52:27.060813Z] INIT: Controller initialized (Card: null, CTR: null, Success: true)
[2025-09-05T04:52:27.062425Z] CARD_ADDED: Card added: Иван Петров (Card: dmYGj0FXeWsr1yyLqRmNPw, CTR: null, Success: true)
[2025-09-05T04:52:27.062514Z] CARD_ADDED: Card added: Гость Смирнов (Card: D9n6nDLkDRmst83ydXnptw, CTR: null, Success: true)
[2025-09-05T04:52:27.066679Z] ACCESS_GRANTED: Access granted to Иван Петров (Card: dmYGj0FXeWsr1yyLqRmNPw, CTR: AgAAAAAAAAA, Success: true)
[2025-09-05T04:52:27.067142Z] ACCESS_GRANTED: Access granted to Гость Смирнов (Card: D9n6nDLkDRmst83ydXnptw, CTR: AQAAAAAAAAA, Success: true)
[2025-09-05T04:52:27.072086Z] QR_GRANTED: QR access granted to Иван Петров (role: permanent) (Card: dmYGj0FXeWsr1yyLqRmNPw, CTR: null, Success: true)
[2025-09-05T05:34:49.149670Z] CARD_ADDED: Card added: Иван Петров (Card: 6gy7_-5HArFeMyfeHNV9Cg, CTR: null, Success: true)
[2025-09-05T05:34:49.149963Z] CARD_ADDED: Card added: Гость Смирнов (Card: FnCGTRkXFqTPZKGwToVKDw, CTR: null, Success: true)
[2025-09-05T05:34:49.153468Z] ACCESS_GRANTED: Access granted to Иван Петров (Card: 6gy7_-5HArFeMyfeHNV9Cg, CTR: AgAAAAAAAAA, Success: true)
[2025-09-05T05:34:49.153859Z] ACCESS_GRANTED: Access granted to Гость Смирнов (Card: FnCGTRkXFqTPZKGwToVKDw, CTR: AQAAAAAAAAA, Success: true)
[2025-09-05T05:34:49.159646Z] QR_GRANTED: QR access granted to Иван Петров (role: permanent) (Card: 6gy7_-5HArFeMyfeHNV9Cg, CTR: null, Success: true)
